浙江电信,#genre#
浙江新闻,http://115.221.95.156:8888/udp/233.50.201.137:5140
浙江经济生活,http://115.221.95.156:8888/udp/233.50.201.133:5140
浙江教育,http://115.221.95.156:8888/udp/233.50.201.134:5140
浙江民生,http://115.221.95.156:8888/udp/233.50.201.136:5140
浙江少儿,http://115.221.95.156:8888/udp/233.50.201.138:5140
钱江频道,http://115.221.95.156:8888/udp/233.50.201.132:5140
杭州综合,http://115.221.95.156:8888/udp/233.50.201.173:5140
杭州明珠,http://115.221.95.156:8888/udp/233.50.201.174:5140
杭州生活,http://115.221.95.156:8888/udp/233.50.201.175:5140
杭州影视,http://115.221.95.156:8888/udp/233.50.201.176:5140
杭州青少,http://115.221.95.156:8888/udp/233.50.201.177:5140
睛彩竞技,http://115.221.95.156:8888/udp/233.50.201.193:5140
睛彩竞技,http://115.221.95.156:8888/udp/233.50.202.26:5140
睛彩篮球,http://115.221.95.156:8888/udp/233.50.202.27:5140
晴彩青少,http://115.221.95.156:8888/udp/233.50.202.28:5140
睛彩广场舞,http://115.221.95.156:8888/udp/233.50.202.29:5140

CCTV-1,http://115.221.95.156:8888/udp/233.50.201.118:5140
CCTV-2,http://115.221.95.156:8888/udp/233.50.201.119:5140
CCTV-3,http://115.221.95.156:8888/udp/233.50.201.196:5140
CCTV-4,http://115.221.95.156:8888/udp/233.50.200.101:5140
CCTV-5,http://115.221.95.156:8888/udp/233.50.201.197:5140
CCTV-5+,http://115.221.95.156:8888/udp/233.50.201.220:5140
CCTV-6,http://115.221.95.156:8888/udp/233.50.201.198:5140
CCTV-7,http://115.221.95.156:8888/udp/233.50.201.120:5140
CCTV-8,http://115.221.95.156:8888/udp/233.50.201.199:5140
CCTV-9,http://115.221.95.156:8888/udp/233.50.201.121:5140
CCTV-10,http://115.221.95.156:8888/udp/233.50.201.122:5140
CCTV-11,http://115.221.95.156:8888/udp/233.50.201.11:5140
CCTV-12,http://115.221.95.156:8888/udp/233.50.201.123:5140
CCTV-13,http://115.221.95.156:8888/udp/233.50.201.246:5140
CCTV-14,http://115.221.95.156:8888/udp/233.50.201.124:5140
CCTV-15,http://115.221.95.156:8888/udp/233.50.201.15:5140
CCTV-16,http://115.221.95.156:8888/udp/233.50.201.63:5140
CCTV-16,http://115.221.95.156:8888/udp/233.50.201.192:5140
CCTV-17,http://115.221.95.156:8888/udp/233.50.200.113:5140

凤凰中文,http://115.221.95.156:8888/udp/233.50.200.191:5140
凤凰中文,http://115.221.95.156:8888/udp/233.50.200.42:5140
凤凰资讯,http://115.221.95.156:8888/udp/233.50.200.192:5140
浙江卫视,http://115.221.95.156:8888/udp/233.50.201.100:5140
深圳卫视,http://115.221.95.156:8888/udp/233.50.201.101:5140
广东卫视,http://115.221.95.156:8888/udp/233.50.201.102:5140
湖南卫视,http://115.221.95.156:8888/udp/233.50.201.103:5140
天津卫视,http://115.221.95.156:8888/udp/233.50.201.104:5140
山东卫视,http://115.221.95.156:8888/udp/233.50.201.105:5140
江苏卫视,http://115.221.95.156:8888/udp/233.50.201.106:5140
北京卫视,http://115.221.95.156:8888/udp/233.50.201.107:5140
四川卫视,http://115.221.95.156:8888/udp/233.50.201.139:5140
河北卫视,http://115.221.95.156:8888/udp/233.50.201.140:5140
辽宁卫视,http://115.221.95.156:8888/udp/233.50.201.141:5140
贵州卫视,http://115.221.95.156:8888/udp/233.50.201.142:5140
重庆卫视,http://115.221.95.156:8888/udp/233.50.201.143:5140
河南卫视,http://115.221.95.156:8888/udp/233.50.201.144:5140
江西卫视,http://115.221.95.156:8888/udp/233.50.201.145:5140
东南卫视,http://115.221.95.156:8888/udp/233.50.201.146:5140
安徽卫视,http://115.221.95.156:8888/udp/233.50.201.113:5140
湖北卫视,http://115.221.95.156:8888/udp/233.50.201.114:5140
黑龙江卫视,http://115.221.95.156:8888/udp/233.50.201.115:5140
东方卫视,http://115.221.95.156:8888/udp/233.50.201.125:5140

之江记录,http://115.221.95.156:8888/udp/233.50.202.25:5140
法制天地,http://115.221.95.156:8888/udp/233.50.201.191:5140
动漫秀场,http://115.221.95.156:8888/udp/233.50.201.184:5140
游戏风云,http://115.221.95.156:8888/udp/233.50.201.183:5140
乐游,http://115.221.95.156:8888/udp/233.50.201.185:5140
金色学堂,http://115.221.95.156:8888/udp/233.50.201.186:5140
生活时尚,http://115.221.95.156:8888/udp/233.50.201.187:5140
BesTV,http://115.221.95.156:8888/udp/233.50.201.201:5140
中国蓝直播,http://115.221.95.156:8888/udp/233.50.201.193:5140
欢笑剧场,http://115.221.95.156:8888/udp/233.50.201.189:5140
都市剧场,http://115.221.95.156:8888/udp/233.50.201.190:5140
游戏频道,http://115.221.95.156:8888/udp/233.50.201.207:5140
未知频道,http://115.221.95.156:8888/udp/233.50.201.224:5140
中国蓝直播,http://115.221.95.156:8888/udp/233.50.201.108:5140

浙江新闻,http://125.113.82.177:8888/udp/233.50.201.137:5140
浙江经济生活,http://125.113.82.177:8888/udp/233.50.201.133:5140
浙江教育,http://125.113.82.177:8888/udp/233.50.201.134:5140
浙江民生,http://125.113.82.177:8888/udp/233.50.201.136:5140
浙江少儿,http://125.113.82.177:8888/udp/233.50.201.138:5140
钱江频道,http://125.113.82.177:8888/udp/233.50.201.132:5140
杭州综合,http://125.113.82.177:8888/udp/233.50.201.173:5140
杭州明珠,http://125.113.82.177:8888/udp/233.50.201.174:5140
杭州生活,http://125.113.82.177:8888/udp/233.50.201.175:5140
杭州影视,http://125.113.82.177:8888/udp/233.50.201.176:5140
杭州青少,http://125.113.82.177:8888/udp/233.50.201.177:5140
睛彩竞技,http://125.113.82.177:8888/udp/233.50.201.193:5140
睛彩竞技,http://125.113.82.177:8888/udp/233.50.202.26:5140
睛彩篮球,http://125.113.82.177:8888/udp/233.50.202.27:5140
晴彩青少,http://125.113.82.177:8888/udp/233.50.202.28:5140
睛彩广场舞,http://125.113.82.177:8888/udp/233.50.202.29:5140

CCTV-1,http://125.113.82.177:8888/udp/233.50.201.118:5140
CCTV-2,http://125.113.82.177:8888/udp/233.50.201.119:5140
CCTV-3,http://125.113.82.177:8888/udp/233.50.201.196:5140
CCTV-4,http://125.113.82.177:8888/udp/233.50.200.101:5140
CCTV-5,http://125.113.82.177:8888/udp/233.50.201.197:5140
CCTV-5+,http://125.113.82.177:8888/udp/233.50.201.220:5140
CCTV-6,http://125.113.82.177:8888/udp/233.50.201.198:5140
CCTV-7,http://125.113.82.177:8888/udp/233.50.201.120:5140
CCTV-8,http://125.113.82.177:8888/udp/233.50.201.199:5140
CCTV-9,http://125.113.82.177:8888/udp/233.50.201.121:5140
CCTV-10,http://125.113.82.177:8888/udp/233.50.201.122:5140
CCTV-11,http://125.113.82.177:8888/udp/233.50.201.11:5140
CCTV-12,http://125.113.82.177:8888/udp/233.50.201.123:5140
CCTV-13,http://125.113.82.177:8888/udp/233.50.201.246:5140
CCTV-14,http://125.113.82.177:8888/udp/233.50.201.124:5140
CCTV-15,http://125.113.82.177:8888/udp/233.50.201.15:5140
CCTV-16,http://125.113.82.177:8888/udp/233.50.201.63:5140
CCTV-16,http://125.113.82.177:8888/udp/233.50.201.192:5140
CCTV-17,http://125.113.82.177:8888/udp/233.50.200.113:5140

凤凰中文,http://125.113.82.177:8888/udp/233.50.200.191:5140
凤凰中文,http://125.113.82.177:8888/udp/233.50.200.42:5140
凤凰资讯,http://125.113.82.177:8888/udp/233.50.200.192:5140
浙江卫视,http://125.113.82.177:8888/udp/233.50.201.100:5140
深圳卫视,http://125.113.82.177:8888/udp/233.50.201.101:5140
广东卫视,http://125.113.82.177:8888/udp/233.50.201.102:5140
湖南卫视,http://125.113.82.177:8888/udp/233.50.201.103:5140
天津卫视,http://125.113.82.177:8888/udp/233.50.201.104:5140
山东卫视,http://125.113.82.177:8888/udp/233.50.201.105:5140
江苏卫视,http://125.113.82.177:8888/udp/233.50.201.106:5140
北京卫视,http://125.113.82.177:8888/udp/233.50.201.107:5140
